		kNearest_keepEdges								kNearest_removeEdges								kSpan_average_keepEdges			kSpan_average_removeEdges			kSpan_minimum_keepEdges			kSpan_minimum_removeEdges							
user	original	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8
1	0.2	0	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.05	0	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.4	0.2	0.5	0.4	0.2	0.3	0.4	0.25	0.5	0.4	0.4	0.4	0.4	0.2	0.2	0.2
2	0	0	0.05	0	0.05	0	0	0	0	0	0	0.05	0.05	0.05	0	0	0.05	0.05	0.1	0.2	0.1	0.1	0.2	0.05	0.2	0.05	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2
3	0	0	0	0	0.2	0.2	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.4	0.1	0.3	0.4	0.2	0.25	0.4	0.2	0.2	0.4	0.4	0.4	0.1	0.2	0.2	0.2	0.1
4	0.2	0.1	0.4	0.3	0.4	0.4	0.45	0.4	0.3	0.1	0.2	0.4	0.4	0.4	0.45	0.4	0.3	0.5	0.6	0.6	0.4	0.5	0.5	0.5	0.4	0.45	0.4	0.45	0.5	0.5	0.45	0.45	0.4	0.4
5	0.45	0.25	0.45	0.4	0.25	0.6	0.6	0.6	0.6	0.25	0.3	0.3	0.4	0.4	0.6	0.45	0.5	0.25	0.4	0.4	0.4	0.4	0.4	0.25	0.4	0.45	0.4	0.4	0.45	0.4	0.4	0.4	0.45	0.4
6	0.2	0.2	0.25	0.25	0.2	0.2	0.2	0.2	0.3	0.4	0.4	0.25	0.25	0.2	0.2	0.2	0.2	0.4	0.4	0.4	0.4	0.4	0.45	0.4	0.4	0.2	0.4	0.4	0.2	0.4	0.4	0.4	0.5	0.4
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.2	0.2	0	0.2	0.2	0.05	0.05	0.05	0	0.05	0.1	0.1	0.2	0.2	0.25	0.25
8	0	0	0.1	0.1	0.2	0.25	0.3	0.3	0.3	0	0.05	0.1	0.2	0.25	0.4	0.3	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.2	0.3	0.25	0.3	0.2	0.25	0.2	0.2
9	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.1	0.1	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.25	0.25	0.2	0.3	0.2	0.1	0.25	0.3	0.4	0.4
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.2	0.3	0.2	0.2	0.2	0.2	0	0.3	0.2	0.1	0.05	0.2	0.3	0.4	0.2
11	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.05	0	0	0.05
12	0	0	0	0	0	0.05	0.2	0.2	0.2	0	0	0	0	0.2	0.2	0.2	0.2	0.25	0.25	0.4	0.4	0.3	0.4	0.25	0.4	0.4	0.4	0.45	0.3	0.2	0.25	0.25	0.4	0.4
13	0.1	0.05	0.2	0.05	0	0	0	0.1	0.1	0.05	0.05	0.1	0	0	0	0.1	0.05	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.25	0.2
14	0	0	0	0	0	0.05	0.1	0.2	0.2	0	0	0	0.05	0.1	0.2	0.1	0.2	0.1	0.25	0.3	0.25	0.4	0.4	0.1	0.2	0.25	0.25	0.2	0.3	0.1	0	0.2	0.25	0.25
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.25	0.1	0.2	0.4	0	0.2	0.1	0.1	0.25	0.2	0.2	0.2	0.25	0.2	0.25
16	0	0	0	0.2	0.2	0.2	0.2	0.25	0.25	0	0	0.05	0.2	0.2	0.2	0.2	0.25	0.3	0.2	0.4	0.4	0.25	0.4	0.3	0.2	0.45	0.4	0.2	0.45	0.4	0.2	0.25	0.3	0.4
17	0.05	0.05	0.05	0.1	0.1	0.2	0.2	0.2	0.2	0	0.05	0.1	0.05	0.2	0.2	0.2	0.2	0.1	0.05	0.2	0.2	0.1	0.25	0.1	0.05	0.05	0.2	0.05	0.1	0.2	0.2	0.25	0.3	0.3
18	0	0	0	0	0.05	0.1	0.25	0.2	0.25	0.2	0.05	0	0	0	0.2	0.2	0.4	0.2	0.3	0.4	0.2	0.3	0.25	0.2	0.1	0.25	0.2	0.2	0.4	0.4	0.4	0.4	0.4	0.45
19	0.2	0.2	0.4	0.4	0.45	0.45	0.4	0.45	0.6	0.2	0.3	0.4	0.45	0.5	0.4	0.4	0.5	0.4	0.45	0.4	0.45	0.5	0.6	0.4	0.3	0.25	0.45	0.4	0.4	0.4	0.45	0.4	0.6	0.6
