		kNearest_keepEdges								kNearest_removeEdges								kSpan_average_keepEdges			kSpan_average_removeEdges			kSpan_minimum_keepEdges			kSpan_minimum_removeEdges							
user	original	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8
1	0.4	0.52	0.44	0.4	0.52	0.52	0.44	0.44	0.44	0.6	0.6	0.52	0.52	0.52	0.44	0.44	0.52	0.32	0.44	0.4	0.32	0.4	0.32	0.32	0.4	0.44	0.32	0.4	0.44	0.32	0.32	0.44	0.4	0.44
2	0.12	0	0	0.2	0.12	0.24	0.32	0.4	0.4	0	0.04	0.12	0.2	0.2	0.32	0.32	0.4	0.32	0.24	0.24	0.32	0.24	0.32	0.32	0.4	0.4	0.32	0.4	0.4	0.32	0.24	0.32	0.32	0.32
3	0	0	0	0.12	0.12	0.12	0.2	0.2	0.2	0	0	0	0.12	0.12	0.2	0.12	0.12	0.24	0.32	0.24	0.4	0.32	0.32	0.24	0.24	0.24	0.4	0.32	0.32	0.2	0.12	0.2	0.32	0.32
4	0.2	0.2	0.32	0.32	0.32	0.32	0.32	0.32	0.24	0.2	0.24	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.4	0.4	0.32	0.4	0.32	0.4	0.32	0.4	0.24	0.32	0.4	0.32	0.32	0.4	0.32
5	0.32	0.4	0.4	0.44	0.4	0.44	0.4	0.4	0.4	0.44	0.4	0.4	0.4	0.44	0.4	0.4	0.4	0.32	0.4	0.32	0.32	0.4	0.24	0.32	0.4	0.32	0.32	0.4	0.32	0.32	0.32	0.32	0.32	0.32
6	0.2	0.2	0.2	0.2	0.24	0.24	0.32	0.24	0.32	0.2	0.2	0.2	0.24	0.24	0.32	0.32	0.24	0.4	0.4	0.4	0.4	0.4	0.32	0.4	0.4	0.4	0.4	0.32	0.32	0.4	0.32	0.24	0.32	0.32
7	0	0	0	0	0.04	0.04	0.12	0.12	0.12	0	0	0	0	0.04	0.04	0.12	0.12	0.12	0.12	0.2	0.12	0.2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.2	0.2	0.2	0.2
8	0	0.12	0.12	0.12	0.12	0.2	0.24	0.24	0.24	0	0.12	0.12	0.12	0.2	0.24	0.24	0.24	0.2	0.2	0.24	0.2	0.32	0.24	0.2	0.2	0.32	0.2	0.2	0.32	0.32	0.4	0.4	0.32	0.32
9	0.32	0.32	0.32	0.24	0.2	0.2	0.32	0.32	0.32	0.32	0.32	0.2	0.32	0.2	0.32	0.32	0.32	0.24	0.2	0.24	0.32	0.2	0.2	0.24	0.2	0.32	0.32	0.24	0.32	0.32	0.32	0.24	0.24	0.32
10	0	0	0	0	0.12	0.12	0.12	0.2	0.2	0.04	0	0	0.04	0.12	0.12	0.12	0.2	0.2	0.2	0.32	0.2	0.2	0.32	0.2	0.2	0	0.2	0.2	0.04	0	0.12	0.32	0.4	0.32
11	0.12	0.12	0.12	0.12	0.2	0.24	0.32	0.32	0.32	0.12	0.12	0.2	0.2	0.24	0.32	0.32	0.32	0.2	0.2	0.32	0.12	0.2	0.32	0.2	0.12	0.12	0.12	0.12	0.12	0.2	0.2	0.2	0.2	0.24
12	0.12	0.12	0.12	0.12	0.12	0.2	0.2	0.2	0.2	0.12	0.12	0.12	0.12	0.2	0.2	0.2	0.2	0.4	0.24	0.24	0.32	0.32	0.24	0.4	0.44	0.32	0.32	0.52	0.4	0.4	0.32	0.4	0.32	0.32
13	0.12	0.12	0.2	0.12	0.2	0.2	0.2	0.12	0.24	0.12	0.12	0.12	0.12	0.24	0.24	0.12	0.24	0.24	0.2	0.12	0.32	0.24	0.2	0.24	0.04	0.24	0.32	0.04	0.24	0.24	0.12	0.32	0.32	0.32
14	0.12	0.12	0.2	0.2	0.24	0.2	0.24	0.24	0.32	0.2	0.12	0.24	0.24	0.24	0.24	0.32	0.32	0.24	0.32	0.4	0.24	0.4	0.4	0.24	0.32	0.32	0.24	0.4	0.32	0.12	0.24	0.32	0.32	0.32
15	0	0	0	0.04	0.12	0.2	0.2	0.2	0.2	0	0	0	0.12	0.12	0.2	0.2	0.2	0.2	0.12	0.2	0.12	0.12	0.24	0.2	0.12	0.12	0.12	0.12	0.2	0.2	0.32	0.32	0.32	0.32
16	0.2	0.2	0.2	0.2	0.2	0.32	0.32	0.24	0.24	0.12	0.2	0.2	0.2	0.2	0.32	0.2	0.2	0.24	0.4	0.32	0.32	0.4	0.4	0.24	0.24	0.44	0.32	0.2	0.44	0.4	0.32	0.24	0.24	0.32
17	0.2	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.12	0.12	0.12	0.2	0.2	0.2	0.2
